,G,p,budget,from_cache,method,trial_id,min_exposed_value,mip_value,greedy_intersection,maxD,I_size,v1_size,v2_size,num_cross_edges,duration,updated_MIP
99,montgomery,0.078,400,/home/ubuntu/ContactTracing/data/SIR_Cache/time_trials/jb14.json,greedy_weighted,0,"(184.8, 29.861346252304163)",117.87170061537664,-1,30,2465,10920,13625,24940,0.06560779999927037,1485.7784010112966
100,montgomery,0.078,400,/home/ubuntu/ContactTracing/data/SIR_Cache/time_trials/jb14.json,greedy_weighted,1,"(183.8, 28.384855116769575)",117.87170061537664,-1,30,2465,10920,13625,24940,0.1004216789988277,1485.7784010112966
101,montgomery,0.078,400,/home/ubuntu/ContactTracing/data/SIR_Cache/time_trials/jb12.json,random,1,"(453.6, 16.0249804992081)",254.10159573189202,7,21,5490,22977,15421,37672,3.5137432259998604,4281.637050603543
102,montgomery,0.078,400,/home/ubuntu/ContactTracing/data/SIR_Cache/time_trials/ta16.json,dependent,1,"(49.8, 7.463243262818115)",34.67591101030404,286,28,609,3182,7326,10008,0.5388275730001624,353.34378891506685
103,montgomery,0.078,400,/home/ubuntu/ContactTracing/data/SIR_Cache/time_trials/zb9.json,mip_gurobi,0,"(909.6, 35.99027646462305)",381.366388017665,173,38,5181,31140,21397,79421,24.94473261100029,6321.926808468211
104,montgomery,0.078,400,/home/ubuntu/ContactTracing/data/SIR_Cache/time_trials/jb14.json,dependent,1,"(177.4, 11.414902540100814)",117.120274398825,225,30,2465,10920,13625,24940,2.0906866720015387,1485.026974794745
105,montgomery,0.078,400,/home/ubuntu/ContactTracing/data/SIR_Cache/time_trials/jb14.json,mip_gurobi,1,"(174, 15.668439615992398)",114.2353715263149,261,30,2465,10920,13625,24940,2.2825755279991427,1482.1420719222351
106,montgomery,0.078,400,/home/ubuntu/ContactTracing/data/SIR_Cache/time_trials/jb14.json,mip_gurobi,0,"(175, 11.832159566199232)",114.2353715263149,261,30,2465,10920,13625,24940,2.8225614909988512,1482.1420719222351
107,montgomery,0.078,400,/home/ubuntu/ContactTracing/data/SIR_Cache/time_trials/ta16.json,random,1,"(72, 13.96424004376894)",51.18248322157793,50,28,609,3182,7326,10008,1.0867127090004942,369.8503611263407
108,montgomery,0.078,400,/home/ubuntu/ContactTracing/data/SIR_Cache/time_trials/ta16.json,greedy_weighted,0,"(44.6, 6.730527468185536)",35.797579620834625,-1,28,609,3182,7326,10008,0.019024114999410813,354.46545752559746
